Energy_code,Energy_source
P1TCD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all sectors"
P1TCP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption"
P1TCV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total expenditures"
P1TXB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption"
P1TXD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all end-use sectors"
P1TXP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption"
P1TXV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use expenditures"
P5RFB,Other petroleum products consumed as refinery fuel and intermediate products
PAACB,All petroleum products consumed by the transportation sector
PAACD,All petroleum products average price in the transportation sector
PAACK,"Factor for converting all petroleum products consumed by the transportation sector from physical units to Btu, United States only"
PAACP,All petroleum products consumed by the transportation sector
PAACV,All petroleum products total expenditures in the transportation sector
PACCB,All petroleum products consumed by the commercial sector
PACCD,All petroleum products average price in the commercial sector
PACCK,"Factor for converting all petroleum products consumed by the commercial sector from physical units to Btu, United States only"
PACCP,All petroleum products consumed by the commercial sector
PACCV,All petroleum products total expenditures in the commercial sector
PAEIB,All petroleum products consumed by the electric power sector
PAEID,All petroleum products average price in the electric power sector
PAEIK,"Factor for converting all petroleum products consumed by the electric power sector from physical units to Btu, United States only"
PAEIP,All petroleum products consumed by the electric power sector
PAEIV,All petroleum products total expenditures in the electric power sector
PAICB,All petroleum products consumed by the industrial sector
PAICD,All petroleum products average price in the industrial sector
PAICK,"Factor for converting all petroleum products consumed by the industrial sector from physical units to Btu, United States only"
PAICP,All petroleum products consumed by the industrial sector
PAICV,All petroleum products total expenditures in the industrial sector
PAISB,All petroleum products consumed by the industrial sector excluding process fuel and intermediate products
PAPRB,Crude oil production (including lease condensate)
PAPRP,Crude oil production (including lease condensate)
PARCB,All petroleum products consumed by the residential sector
PARCD,All petroleum products average price in the residential sector
PARCK,"Factor for converting all petroleum products consumed by the residential sector from physical units to Btu, United States only"
PARCP,All petroleum products consumed by the residential sector
PARCV,All petroleum products total expenditures in the residential sector
PASCB,All petroleum products total consumption adjusted for process fuel and intermediate products
PATCB,All petroleum products total consumption
PATCD,"All petroleum products average price, all sectors"
PATCK,"Factor for converting all petroleum products total consumption from physical units to Btu, United States only"
PATCP,All petroleum products total consumption
PATCV,All petroleum products total expenditures
PATPB,All petroleum products total consumption per capita
PATPP,All petroleum products total consumption per capita
PATXB,All petroleum products total end-use consumption
PATXD,"All petroleum products average price, all end-use sectors"
PATXP,All petroleum products total end-use consumption
PATXV,All petroleum products total end-use expenditures
PCCCB,Petroleum coke consumed by the commercial sector
PCCCD,Petroleum coke price in the commercial sector
PCCCP,Petroleum coke consumed by the commercial sector
PCCCV,Petroleum coke expenditures in the commercial sector
PCCTK,"Factor converting petroleum coke, catalyst coke physical units to Btu, United States only"
PCEIB,Petroleum coke consumed by the electric power sector
PCEID,Petroleum coke price in the electric power sector
PCEIP,Petroleum coke consumed by the electric power sector
PCEIV,Petroleum coke expenditures in the electric power sector
PCICB,Petroleum coke consumed by the industrial sector
PCICD,Petroleum coke price in the industrial sector
PCICP,Petroleum coke consumed by the industrial sector
PCICV,Petroleum coke expenditures in the industrial sector
PCISB,Petroleum coke consumed by the industrial sector excluding refinery fuel
PCMKK,"Factor converting petroleum coke, marketable coke physical units to Btu, United States only"
PCRFB,Petroleum coke consumed as refinery fuel
PCSCB,Petroleum coke total consumption adjusted for process fuel
PCTCB,Petroleum coke total consumption
PCTCD,"Petroleum coke average price, all sectors"
PCTCP,Petroleum coke total consumption
PCTCV,Petroleum coke total expenditures
PCTXB,Petroleum coke total end-use consumption
PCTXD,"Petroleum coke average price, all end-use sectors"
PCTXP,Petroleum coke total end-use consumption
PCTXV,Petroleum coke total end-use expenditures
PEACD,Primary energy average price in the transportation sector
PEACV,Primary energy total expenditures in the transportation sector
PEASB,"Primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost"
PECCD,Primary energy average price in the commercial sector
PECCV,Primary energy total expenditures in the commercial sector
PECSB,"Primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost"
PEEID,Primary energy average price in the electric power sector
PEEIV,Primary energy total expenditures in the electric power sector
PEICD,Primary energy average price in the industrial sector
PEICV,Primary energy total expenditures in the industrial sector
PEISB,"Primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost"
PERCD,Primary energy average price in the residential sector
PERCV,Primary energy total expenditures in the residential sector
PERSB,"Primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost"
PESCB,"Primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost"
PETCD,"Primary energy average price, all sectors"
PETCV,Primary energy total expenditures
PETXD,"Primary energy average price, all end-use sectors"
PETXV,Primary energy total end-use expenditures
PLICB,Plant condensate consumed by the industrial sector (through 1983)
PLICP,Plant condensate consumed by the industrial sector (through 1983)
PMTCB,"All petroleum products total consumption, excluding biofuels"
PPICB,Natural gasoline (pentanes plus) consumed by the industrial sector
PPICP,Natural gasoline (pentanes plus) consumed by the industrial sector
PPTCB,Natural gasoline (pentanes plus) total consumption
PPTCP,Natural gasoline (pentanes plus) total consumption
PQACB,Propane consumed by the transportation sector
PQACD,Propane price in the transportation sector
PQACP,Propane consumed by the transportation sector
PQACV,Propane expenditures in the transportation sector
PQCCB,Propane consumed by the commercial sector
PQCCD,Propane price in the commercial sector
PQCCP,Propane consumed by the commercial sector
PQCCV,Propane expenditures in the commercial sector
PQICB,Propane consumed by the industrial sector
PQICD,Propane price in the industrial sector
PQICP,Propane consumed by the industrial sector
PQICV,Propane expenditures in the industrial sector
PQISB,Propane consumed in the industrial sector excluding refinery fuel
PQRCB,Propane consumed by the residential sector
PQRCD,Propane price in the residential sector
PQRCP,Propane consumed by the residential sector
PQRCV,Propane expenditures in the residential sector
PQRFB,Propane consumed as refinery fuel
PQSCB,Propane total consumption adjusted for process fuel
